ori,ucr_agency_name,city_name,county_fips_code,state_code,state_postal_abbr
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160100,MANCHESTER,Manchester,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,31,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
TN0160200,TULLAHOMA,Tullahoma,51,41,TN
